"group_A","EOs_A","n_locs_A","group_B","EOs_B","n_locs_B","min_dist_m","connected"
30,"EO61",1,32,"EO72",1,62769.7,FALSE
23,"EO08",1,29,"EO27",1,62859,FALSE
11,"EO27",2,23,"EO08",1,63236.5,FALSE
22,"EO08",1,29,"EO27",1,63875.8,FALSE
21,"EO08",1,29,"EO27",1,64147.4,FALSE
11,"EO27",2,22,"EO08",1,64221.2,FALSE
11,"EO27",2,21,"EO08",1,64479.5,FALSE
28,"EO26",1,29,"EO27",1,65855.6,FALSE
26,"EO26",2,29,"EO27",1,65980.5,FALSE
11,"EO27",2,28,"EO26",1,66227.7,FALSE
11,"EO27",2,26,"EO26",2,66334.9,FALSE
25,"EO26",2,29,"EO27",1,67027.5,FALSE
7,"EO48",1,8,"EO29",1,67089.1,FALSE
11,"EO27",2,25,"EO26",2,67384.3,FALSE
9,"EO27",1,23,"EO08",1,67917.3,FALSE
6,"EO32",1,8,"EO29",1,68054,FALSE
24,"EO26",1,29,"EO27",1,68308.7,FALSE
4,"EO118",1,12,"EO30",1,68438.7,FALSE
11,"EO27",2,24,"EO26",1,68671.9,FALSE
9,"EO27",1,22,"EO08",1,68862.1,FALSE
9,"EO27",1,21,"EO08",1,69103.2,FALSE
10,"EO27",1,23,"EO08",1,70430.2,FALSE
27,"EO26",1,29,"EO27",1,70519.9,FALSE
11,"EO27",2,27,"EO26",1,70881.5,FALSE
9,"EO27",1,28,"EO26",1,70900.4,FALSE
9,"EO27",1,26,"EO26",2,70985.7,FALSE
10,"EO27",1,22,"EO08",1,71368.9,FALSE
23,"EO08",1,32,"EO72",1,71391.8,FALSE
10,"EO27",1,21,"EO08",1,71607.2,FALSE
23,"EO08",1,31,"EO67",1,71926.1,FALSE
9,"EO27",1,25,"EO26",2,72037.7,FALSE
22,"EO08",1,32,"EO72",1,72558.6,FALSE
8,"EO29",1,16,"EO24",1,72639.7,FALSE
21,"EO08",1,32,"EO72",1,72891.7,FALSE
22,"EO08",1,31,"EO67",1,73010,FALSE
8,"EO29",1,17,"EO24",1,73303.3,FALSE
21,"EO08",1,31,"EO67",1,73308.1,FALSE
9,"EO27",1,24,"EO26",1,73332.5,FALSE
10,"EO27",1,28,"EO26",1,73412,FALSE
10,"EO27",1,26,"EO26",2,73494,FALSE
8,"EO29",1,18,"EO24",1,73636.4,FALSE
8,"EO29",1,13,"EO18",5,74094.2,FALSE
8,"EO29",1,19,"EO24",1,74394.4,FALSE
28,"EO26",1,32,"EO72",1,74398.1,FALSE
20,"EO70",1,32,"EO72",1,74490.7,FALSE
10,"EO27",1,25,"EO26",2,74546.4,FALSE
26,"EO26",2,32,"EO72",1,74609.3,FALSE
20,"EO70",1,31,"EO67",1,74927.1,FALSE
28,"EO26",1,31,"EO67",1,74930.6,FALSE
26,"EO26",2,31,"EO67",1,75093.7,FALSE
9,"EO27",1,27,"EO26",1,75539.2,FALSE
25,"EO26",2,32,"EO72",1,75638.6,FALSE
8,"EO29",1,15,"EO25",1,75810.4,FALSE
10,"EO27",1,24,"EO26",1,75842.2,FALSE
25,"EO26",2,31,"EO67",1,76134.1,FALSE
5,"EO68",1,32,"EO72",1,76262.5,FALSE
8,"EO29",1,14,"EO25",1,76427.9,FALSE
5,"EO68",1,31,"EO67",1,76560.8,FALSE
24,"EO26",1,32,"EO72",1,76882.4,FALSE
24,"EO26",1,31,"EO67",1,77400.2,FALSE
7,"EO48",1,30,"EO61",1,77997.8,FALSE
10,"EO27",1,27,"EO26",1,78048.3,FALSE
10,"EO27",1,20,"EO70",1,78907.2,FALSE
27,"EO26",1,32,"EO72",1,79090.2,FALSE
6,"EO32",1,30,"EO61",1,79140.6,FALSE
27,"EO26",1,31,"EO67",1,79612.2,FALSE
5,"EO68",1,10,"EO27",1,80353.2,FALSE
9,"EO27",1,20,"EO70",1,81146.9,FALSE
16,"EO24",1,30,"EO61",1,82521.9,FALSE
5,"EO68",1,9,"EO27",1,82635.5,FALSE
17,"EO24",1,30,"EO61",1,83166.3,FALSE
13,"EO18",5,30,"EO61",1,83169.3,FALSE
18,"EO24",1,30,"EO61",1,83443.6,FALSE
11,"EO27",2,20,"EO70",1,84005.4,FALSE
19,"EO24",1,30,"EO61",1,84247.2,FALSE
20,"EO70",1,29,"EO27",1,84309,FALSE
15,"EO25",1,30,"EO61",1,85158.1,FALSE
5,"EO68",1,11,"EO27",2,85583.8,FALSE
1,"EO38",1,8,"EO29",1,85612,FALSE
14,"EO25",1,30,"EO61",1,85706.4,FALSE
5,"EO68",1,29,"EO27",1,85942.9,FALSE
7,"EO48",1,23,"EO08",1,86581.6,FALSE
6,"EO32",1,23,"EO08",1,87455.3,FALSE
7,"EO48",1,22,"EO08",1,87770.7,FALSE
7,"EO48",1,21,"EO08",1,88111.7,FALSE
6,"EO32",1,22,"EO08",1,88679.9,FALSE
6,"EO32",1,21,"EO08",1,89035.9,FALSE
7,"EO48",1,28,"EO26",1,89586.6,FALSE
7,"EO48",1,26,"EO26",2,89811.8,FALSE
6,"EO32",1,28,"EO26",1,90456.9,FALSE
6,"EO32",1,26,"EO26",2,90703.6,FALSE
7,"EO48",1,25,"EO26",2,90837.5,FALSE
6,"EO32",1,25,"EO26",2,91723,FALSE
3,"EO52",1,8,"EO29",1,92016.6,FALSE
7,"EO48",1,24,"EO26",1,92074,FALSE
16,"EO24",1,23,"EO08",1,92356.5,FALSE
12,"EO30",1,20,"EO70",1,92522.8,FALSE
6,"EO32",1,24,"EO26",1,92947.9,FALSE
17,"EO24",1,23,"EO08",1,93020.8,FALSE
18,"EO24",1,23,"EO08",1,93355.7,FALSE
16,"EO24",1,22,"EO08",1,93369.3,FALSE
16,"EO24",1,21,"EO08",1,93635.7,FALSE
13,"EO18",5,23,"EO08",1,93766.2,FALSE
17,"EO24",1,22,"EO08",1,94031,FALSE
19,"EO24",1,23,"EO08",1,94112.1,FALSE
7,"EO48",1,27,"EO26",1,94279.4,FALSE
17,"EO24",1,21,"EO08",1,94296.1,FALSE
18,"EO24",1,22,"EO08",1,94356.9,FALSE
5,"EO68",1,12,"EO30",1,94494.7,FALSE
18,"EO24",1,21,"EO08",1,94618.2,FALSE
13,"EO18",5,22,"EO08",1,94649.1,FALSE
2,"EO76",1,8,"EO29",1,94810,FALSE
13,"EO18",5,21,"EO08",1,94861.9,FALSE
19,"EO24",1,22,"EO08",1,95121.4,FALSE
6,"EO32",1,27,"EO26",1,95148.7,FALSE
16,"EO24",1,28,"EO26",1,95353.3,FALSE
19,"EO24",1,21,"EO08",1,95386.1,FALSE
16,"EO24",1,26,"EO26",2,95476.5,FALSE
15,"EO25",1,23,"EO08",1,95515.7,FALSE
17,"EO24",1,28,"EO26",1,96017.2,FALSE
