"locationID_A","EOCode_A","group_A","locationID_B","EOCode_B","group_B","distance_m","connected_500m","same_EO","same_group","link_type"
25,"EO24",19,40,"EO72",32,24180.7,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,9,"EO27",9,24254.7,FALSE,FALSE,FALSE,"not connected"
15,"EO18",13,39,"EO67",31,24288.6,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,19,"EO18",13,24336,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,31,"EO26",25,24370.3,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,39,"EO67",31,24375.8,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,7,"EO48",7,24555.8,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,18,"EO18",13,24586.1,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,22,"EO24",16,24663.2,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,39,"EO67",31,24671.6,FALSE,FALSE,FALSE,"not connected"
21,"EO25",15,39,"EO67",31,24752.4,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,11,"EO27",11,24816.5,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,21,"EO25",15,24940.6,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,12,"EO27",11,24972.1,FALSE,FALSE,FALSE,"not connected"
7,"EO48",7,37,"EO27",29,24979,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,30,"EO26",24,25130.4,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,39,"EO67",31,25139.6,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,23,"EO24",17,25302.8,FALSE,FALSE,FALSE,"not connected"
20,"EO25",14,39,"EO67",31,25516,FALSE,FALSE,FALSE,"not connected"
10,"EO27",10,20,"EO25",14,25563.9,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,24,"EO24",18,25574.2,FALSE,FALSE,FALSE,"not connected"
4,"EO118",4,26,"EO70",20,25808.1,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,16,"EO18",13,25914.9,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,25,"EO24",19,26381.1,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,17,"EO18",13,26456,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,11,"EO27",11,26460.5,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,37,"EO27",29,26501.6,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,15,"EO18",13,26514.1,FALSE,FALSE,FALSE,"not connected"
6,"EO32",6,12,"EO27",11,26584.2,FALSE,FALSE,FALSE,"not connected"
16,"EO18",13,40,"EO72",32,26679.7,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,19,"EO18",13,26930.4,FALSE,FALSE,FALSE,"not connected"
15,"EO18",13,40,"EO72",32,26992.1,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,40,"EO72",32,27138.8,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,18,"EO18",13,27175.8,FALSE,FALSE,FALSE,"not connected"
21,"EO25",15,40,"EO72",32,27191.3,FALSE,FALSE,FALSE,"not connected"
8,"EO29",8,35,"EO26",27,27341.9,FALSE,FALSE,FALSE,"not connected"
19,"EO18",13,40,"EO72",32,27348.8,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,21,"EO25",15,27535.7,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,6,"EO32",6,27565.8,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,6,"EO32",6,27776.8,FALSE,FALSE,FALSE,"not connected"
18,"EO18",13,40,"EO72",32,27903.2,FALSE,FALSE,FALSE,"not connected"
20,"EO25",14,40,"EO72",32,28002.1,FALSE,FALSE,FALSE,"not connected"
9,"EO27",9,20,"EO25",14,28160.2,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,22,"EO24",16,28260.6,FALSE,FALSE,FALSE,"not connected"
4,"EO118",4,5,"EO68",5,28441.9,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,22,"EO24",16,28605.9,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,23,"EO24",17,28914.7,FALSE,FALSE,FALSE,"not connected"
22,"EO24",16,37,"EO27",29,29157.9,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,24,"EO24",18,29222.6,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,23,"EO24",17,29262.5,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,24,"EO24",18,29577.4,FALSE,FALSE,FALSE,"not connected"
23,"EO24",17,37,"EO27",29,29821.5,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,16,"EO18",13,29879.1,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,25,"EO24",19,30002.1,FALSE,FALSE,FALSE,"not connected"
3,"EO52",3,7,"EO48",7,30064.3,FALSE,FALSE,FALSE,"not connected"
24,"EO24",18,37,"EO27",29,30158.3,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,7,"EO48",7,30241.4,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,16,"EO18",13,30309.6,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,25,"EO24",19,30351.1,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,17,"EO18",13,30412.5,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,15,"EO18",13,30455.1,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,17,"EO18",13,30840.4,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,19,"EO18",13,30869.8,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,15,"EO18",13,30878.2,FALSE,FALSE,FALSE,"not connected"
25,"EO24",19,37,"EO27",29,30912.8,FALSE,FALSE,FALSE,"not connected"
2,"EO76",2,26,"EO70",20,31095.1,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,18,"EO18",13,31139.4,FALSE,FALSE,FALSE,"not connected"
16,"EO18",13,37,"EO27",29,31144.1,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,25,"EO24",19,31205.6,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,19,"EO18",13,31292.3,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,22,"EO24",16,31368.6,FALSE,FALSE,FALSE,"not connected"
1,"EO38",1,23,"EO24",17,31372.1,FALSE,FALSE,FALSE,"not connected"
11,"EO27",11,21,"EO25",15,31408.2,FALSE,FALSE,FALSE,"not connected"
12,"EO27",11,18,"EO18",13,31569.5,FALSE,FALSE,FALSE,"not connected"
17,"EO18",13,37,"EO27",29,31665.2,FALSE,FALSE,FALSE,"not connected"
